Second,12.6Hz,15.8Hz,20.0Hz,25.1Hz,31.6Hz,39.8Hz,50.1Hz,63.1Hz,79.4Hz,100.0Hz,125.9Hz,158.5Hz,199.5Hz,251.2Hz,316.2Hz,398.1Hz,501.2Hz,631.0Hz,794.3Hz,1000.0Hz,1258.9Hz,1584.9Hz,1995.3Hz,2511.9Hz,3162.3Hz,3981.1Hz,5011.9Hz,6309.6Hz,7943.3Hz,10000.0Hz,12589.3Hz,15848.9Hz
38,119.84,119.14,117.49,116.9,116.29,115.05,113.72,112.74,111.74,110.89,109.82,108.72,107.81,107.05,106.3,105.94,104.17,102.1,99.64,95.93,95.27,136.23,154.21,116.61,98.49,93.28,98.29,94.2,96.82,106.17,104.06,105.53
39,119.71,118.87,117.63,117.08,115.71,114.69,113.67,112.72,111.87,110.77,109.84,108.47,107.33,106.22,105.04,104.7,102.48,99.59,96.62,98.16,105.25,136.32,154.21,116.63,102.38,99.99,100.98,98.22,99.21,106.39,104.21,105.74
40,120.11,119.12,118.26,116.9,115.97,114.56,113.73,112.86,112.02,110.99,109.82,108.6,107.91,106.98,106.3,105.56,104.03,102.02,100.1,100.21,104.75,136.22,154.21,117.09,104.29,100.88,101.01,98.37,98.91,106.4,104.27,105.78
41,119.45,119.44,117.45,116.86,115.83,114.92,113.76,113.03,111.94,110.9,110.64,109.72,108.93,108.41,108.4,108.08,107.22,106.26,105.39,104.98,106.08,136.19,154.21,116.5,94.71,93.39,98.8,94.33,97.87,106.15,103.95,105.58
42,120.05,118.46,118.25,116.96,116.51,114.94,114.33,113.38,112.61,112.03,110.58,109.98,109.61,109.77,109.97,110.59,110.25,110.03,110.3,110.91,112.93,133.27,150.45,118.29,136.27,151.38,109.37,103.81,101.84,110.29,105.46,106.36
43,119.41,118.88,118.15,116.63,116.22,114.99,114.25,113.27,112.35,111.08,110.76,109.45,108.56,107.85,107.73,107.19,106.49,104.28,102.08,100.28,99.11,99.71,102.63,105.27,138.6,153.75,111.61,101.09,100.73,111.55,104.67,105.76
44,119.92,118.18,117.7,116.8,116.3,114.54,114.17,112.91,112.33,111.86,110.79,109.9,109.62,109.58,109.62,109.71,109.27,108.81,108.27,108.01,107.93,108.45,109.46,111.4,138.63,153.76,110.96,100.86,101.83,111.59,104.98,105.83
45,119.93,118.73,117.87,117.46,115.97,115.15,113.86,113.14,112.12,111.16,110.55,109.37,108.91,108.39,108.33,108.49,107.33,106.37,105.72,104.84,104.18,103.78,104.91,104.26,138.6,153.76,112.63,105.47,103.96,111.9,106.05,106.7
46,119.42,118.89,117.69,116.97,115.73,114.94,113.74,112.77,111.78,110.94,109.89,108.61,107.55,106.47,105.85,105.52,103.57,101.01,98.53,96.17,95.96,99.19,103.55,108.07,138.62,153.76,111.11,98.88,99.56,111.42,104.47,105.43
47,120.28,118.69,117.76,116.84,116.06,115.12,113.92,113.0,112.55,111.67,110.47,109.63,108.86,108.78,108.5,108.47,107.52,106.84,106.08,105.46,105.11,105.25,106.57,111.01,136.85,151.88,112.59,134.63,147.34,112.62,107.19,107.6
48,119.45,119.13,118.07,117.01,115.64,114.76,113.98,113.07,112.72,111.74,110.23,109.48,108.91,108.41,108.27,108.18,107.35,106.54,105.63,104.98,104.17,103.76,104.76,103.12,101.84,102.47,99.47,138.24,151.47,107.34,103.06,108.23
49,119.99,118.72,118.1,116.39,115.92,114.77,113.33,112.99,112.22,110.93,110.17,109.25,108.43,107.93,107.73,107.83,106.68,105.67,104.11,103.13,101.99,101.3,102.27,98.64,97.71,100.02,102.5,138.25,151.47,106.07,100.65,107.84
50,119.81,119.13,117.77,116.59,116.0,115.28,113.7,113.19,112.16,111.44,110.35,109.19,108.61,108.51,107.94,108.03,107.28,105.61,104.2,103.0,102.02,101.14,102.47,98.72,94.57,96.12,99.99,138.25,151.47,107.95,104.05,108.44
51,119.47,118.93,117.47,116.99,116.57,114.8,113.78,112.97,112.18,111.23,110.61,109.3,108.73,108.65,108.3,108.82,107.43,106.43,105.64,104.9,104.28,103.77,104.62,102.95,102.64,103.97,108.03,138.25,151.47,106.07,100.78,107.89
52,120.3,118.97,118.33,116.49,116.04,115.07,113.8,113.24,112.06,111.15,110.23,109.24,108.3,108.09,107.59,107.54,106.55,104.72,103.16,101.44,99.67,98.75,100.74,94.26,92.81,99.03,107.28,138.25,151.47,107.53,103.3,108.4
53,119.55,118.36,117.62,117.31,115.9,115.25,114.16,113.27,112.55,112.1,111.32,110.85,110.29,110.25,110.55,110.89,110.49,112.51,110.2,110.22,110.31,110.54,111.7,111.71,112.17,113.32,115.34,136.09,149.2,150.21,166.3,125.63
54,120.15,118.34,118.26,117.25,115.91,115.12,113.68,112.95,112.2,111.1,110.23,109.24,108.53,107.75,107.73,107.4,106.42,113.26,104.15,102.94,101.77,100.82,106.08,98.36,95.15,95.35,90.43,103.98,106.15,154.06,170.14,129.58
55,119.87,118.5,118.41,116.66,115.56,114.5,114.04,112.87,112.29,111.15,110.07,108.93,108.0,107.57,107.1,106.78,105.65,113.03,102.56,100.68,98.78,97.75,105.37,94.71,95.41,98.77,101.13,108.6,111.27,154.05,170.14,129.62
56,119.54,118.86,117.76,116.65,116.12,115.03,114.02,113.0,112.1,111.31,110.71,108.9,108.13,107.97,106.59,106.46,104.97,112.94,101.34,98.96,97.48,96.67,105.5,97.56,99.78,102.45,104.68,109.57,112.53,154.05,170.14,129.79
57,120.33,118.5,117.87,117.05,116.15,114.9,113.91,112.81,111.97,111.15,109.85,109.16,107.74,107.44,106.59,106.21,105.35,113.04,101.01,98.73,96.56,96.54,105.46,98.55,100.46,102.76,104.53,107.89,111.11,154.05,170.14,129.89
58,119.62,119.27,117.8,116.83,115.84,115.18,113.76,113.14,111.87,111.44,110.23,109.27,108.34,107.49,107.03,107.08,105.72,112.71,102.65,100.9,99.24,98.63,105.46,97.15,101.99,101.49,99.6,106.36,109.34,153.87,169.96,156.89
59,119.56,118.96,117.51,116.54,115.84,115.04,114.36,112.59,112.19,111.68,110.51,110.58,109.71,109.46,109.36,109.52,109.06,108.38,107.69,107.17,106.84,106.7,107.37,106.84,114.65,112.12,107.69,109.0,114.89,118.0,156.28,170.6
60,119.87,118.98,117.86,117.64,116.76,115.24,114.33,112.99,111.98,111.81,111.29,110.05,109.64,109.74,109.64,109.79,109.54,108.7,108.15,107.79,107.7,107.7,108.28,107.98,114.9,112.53,108.94,109.62,115.18,114.29,156.27,170.59
61,119.55,119.43,118.31,116.8,116.1,114.82,114.04,113.06,112.1,111.51,110.71,110.08,109.27,109.05,109.33,109.65,108.77,107.9,107.41,107.0,106.63,106.69,107.29,106.8,114.7,111.99,106.87,106.57,114.11,114.04,156.27,170.59
62,120.02,118.19,118.04,116.84,115.98,114.7,114.17,113.02,112.47,111.73,110.59,109.49,108.72,108.42,108.15,108.17,107.57,106.56,105.48,104.76,103.95,103.58,104.19,102.55,114.19,110.95,99.44,98.84,112.82,117.56,156.27,170.59
63,120.09,119.15,117.6,117.73,115.47,114.7,114.09,112.69,111.91,111.03,110.21,109.11,108.2,107.68,107.08,106.88,105.79,104.05,102.4,100.96,99.29,98.27,100.33,95.02,113.94,110.69,98.32,104.17,113.45,118.58,156.27,170.59
64,119.21,118.78,118.41,116.5,115.5,114.63,113.59,112.64,111.71,111.62,109.86,108.84,107.75,107.2,106.02,105.72,104.27,102.24,99.73,97.62,95.76,96.37,100.33,98.51,114.1,111.17,104.89,107.85,114.5,116.87,156.27,170.59
65,120.33,118.45,117.41,116.33,115.88,115.16,113.93,113.13,112.22,110.63,109.96,108.62,108.13,106.66,106.12,105.68,104.34,101.92,99.6,97.53,95.88,96.89,100.87,99.07,114.17,111.23,105.05,107.09,114.24,114.26,156.27,170.59
66,119.97,119.13,117.89,116.88,116.07,114.91,113.46,113.09,111.95,111.04,110.16,109.21,108.37,107.58,107.18,106.7,105.33,103.69,102.23,100.3,98.52,97.93,100.32,95.78,114.02,110.75,99.66,101.75,113.12,116.42,156.27,170.6
67,119.21,118.73,118.25,116.69,116.23,114.88,114.39,113.04,112.11,111.34,110.7,109.44,109.25,108.68,108.65,108.91,107.68,105.9,105.14,104.33,103.86,103.89,105.7,101.99,114.07,110.92,100.61,103.38,113.28,118.54,156.28,170.6
68,120.01,118.56,117.06,117.11,115.94,114.42,113.83,112.8,112.31,111.27,110.64,109.69,109.25,109.1,109.27,109.27,108.66,107.76,107.31,106.9,106.4,106.4,107.11,106.39,114.57,111.97,107.14,108.61,114.72,117.91,156.28,170.6
69,119.74,118.88,118.22,117.7,115.93,114.98,114.18,113.46,112.35,111.4,110.7,110.05,109.63,109.49,109.46,109.66,109.19,108.45,108.04,107.77,107.48,107.55,108.34,108.02,114.92,112.53,108.94,109.63,115.19,114.49,156.28,170.6
70,119.53,118.6,117.48,116.86,115.74,114.9,114.02,113.03,112.28,111.49,110.98,109.96,109.18,109.0,109.13,109.38,108.8,108.08,107.58,107.16,106.8,106.98,107.59,106.99,114.74,112.07,107.15,106.89,114.23,113.89,156.28,170.6
